"New Application Form for Direct Recruitment, Assam",https://services.india.gov.in/service/service_url_redirect?id=MjQxNTk=,"
                                                        
                              Informational                                                  ","Get services for Direct Recruitment (DR) (New Form), Assam",https://services.india.gov.in/service/detail/new-application-form-for-direct-recruitment-assam
"Gujarat, Collectorate - District Amreli : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=Njc3OQ==,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub divisional Magistrate, Jan Seva Kendra, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-amreli--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Anand : Renewal of hotel and resturant certificate",https://services.india.gov.in/service/service_url_redirect?id=Njk4MA==,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and resturant from Sub divisional Magistrate, Jan Seva Kendra, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-anand--renewal-of-hotel-and-resturant-certificate-1
"Gujarat, Collectorate - District Aravalli : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=NzIxMg==,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub divisional Magistrate, Jan Seva Kendra, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-aravalli--renewal-of-hotel-and-restaurant-certificate
"Gujarat, Collectorate - District Banaskantha : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=Nzc5Ng==,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub divisional Magistrate, Jan Seva Kendra, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-banaskantha--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Bharuch : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=ODQ2NQ==,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub divisional Magistrate, Jan Seva Kendra, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-bharuch--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Bhavnagar : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=ODg4MQ==,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub divisional Magistrate, Jan Seva Kendra, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-bhavnagar--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Botad : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=OTMxMQ==,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub divisional Magistrate, Jan Seva Kendra, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-botad--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Narmada : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=OTgyNg==,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub divisional Magistrate, Jan Seva Kendra, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-narmada--renewal-of-hotel-and-restaurant-certificate
"Gujarat, Collectorate - District Gandhinagar : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTAzNzE=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-gandhinagar--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Dang : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTA5NjA=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-dang--renewal-of-hotel-and-restaurant-certificate-1
"Apply Financial Assistance for Working Women Worker's or Wives of Male Worker's of Maternity, Haryana",https://services.india.gov.in/service/service_url_redirect?id=MTc4MzY=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Financial Assistance for Working Women Worker's or Wives of Male Worker's for Maternity from Labour Department. This is a G2C service. Applicants need to register to apply for this service. Families and Individuals can apply for this service.,https://services.india.gov.in/service/detail/apply-financial-assistance-for-working-women-workers-or-wives-of-male-workers-of-maternity-haryana
"Apply for Financial Assistance of Artificial Limbs to Worker's with Disability Due to Accident or other Reasons, Haryana",https://services.india.gov.in/service/service_url_redirect?id=MTc4Mzg=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Financial Assistance of Artificial Limbs to Worker's with Disability Due to Accident or other Reasons from Labour Department. This is a G2C service. Applicants need to register to apply for this service. Individuals can apply for this service.,https://services.india.gov.in/service/detail/apply-for-financial-assistance-of-artificial-limbs-to-workers-with-disability-due-to-accident-or-other-reasons-haryana-1
"Gujarat, Collectorate - District Dahod : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTE2MDU=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-dahod--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Gir Somnath : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTIyOTM=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-gir-somnath--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Mahisagar : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTI3MTY=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-mahisagar--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Porbandar : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTMxMDU=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-porbandar--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Navsari : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTM2NzQ=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-navsari--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Valsad : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTQ5Nzc=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-valsad--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Vadodara : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTYxMTM=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-vadodara--renewal-of-hotel-and-restaurant-certificate-1
"Gujarat, Collectorate - District Surat : Renewal of hotel and restaurant certificate",https://services.india.gov.in/service/service_url_redirect?id=MTYyODc=,"
                                                        
                              Informational                                                  ","Check process for renewal of certificate for hotel and restaurant from Sub-divisional Magistrate/Jan Seva Kendra, check required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-surat--renewal-of-hotel-and-restaurant-certificate-1
"Apply for Scheme Providing Employment Opportunities to Scheduled Castes, Haryana",https://services.india.gov.in/service/service_url_redirect?id=MjM1NzU=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Scheme Providing Employment Opportunities to Scheduled Castes from Animal Husbandry and Dairying Department. This is a G2C service. Applicants need to register to apply for this service. Individuals can apply for this service.,https://services.india.gov.in/service/detail/apply-for-scheme-providing-employment-opportunities-to-scheduled-castes-haryana
"Gujarat, Collectorate - District Banaskantha : Certification for socially and educationally backward classes",https://services.india.gov.in/service/service_url_redirect?id=Nzc1OQ==,"
                                                        
                              Informational                                                  ","Check process for getting a certificate of socially and educationally backward classes from Taluka Mamlatdar/Jan Seva Kendra office, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-banaskantha--certification-for-socially-and-educationally-backward-classes-1
"Gujarat, Collectorate - District Banaskantha : Obtaining certificates for Scheduled Castes and Scheduled Tribes",https://services.india.gov.in/service/service_url_redirect?id=Nzc2MQ==,"
                                                        
                              Informational                                                  ","Check process for obtaining certificates for Scheduled Castes / Scheduled Tribes from Taluka Mamlatdar/ Zonal Officer/Urban Area Office/Jan Seva Kendra office, required document, fees and download application form.",https://services.india.gov.in/service/detail/gujarat-collectorate-district-banaskantha--obtaining-certificates-for-scheduled-castes-and-scheduled-tribes-1
"Application for License of a Contractor (s) for recruitment of migrant workmen, Meghalaya",https://services.india.gov.in/service/service_url_redirect?id=MjIwODg=,"
                                                        
                              Fully Online                                                  ","This service developed in Service Plus Platform of NIC can be applied by applicants by registering themselves on the portal https://investmeghalaya.gov.in   Service Name is License for contractors under the Interstate Migrant Workmen Act, 1979  and is listed under the menu Services Available:Labour Department:Pre-Operation",https://services.india.gov.in/service/detail/application-for-license-of-a-contractor-s-for-recruitment-of-migrant-workmen-meghalaya
"Apply for Renewal of Licence for Employment of Migrant Workmen, Arunachal Pradesh",https://services.india.gov.in/service/service_url_redirect?id=MjI2MTY=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Renewal of licence for Employment of Migrant Workmen from District Administration. This is a G2B service. Applicants need to register to apply for this service. Institutions can apply for this service.,https://services.india.gov.in/service/detail/apply-for-renewal-of-licence-for-employment-of-migrant-workmen-arunachal-pradesh
"Apply for Registration of Establishment under the Interstate Migrant Workmen Act 1979, Meghalaya",https://services.india.gov.in/service/service_url_redirect?id=MjI2NjU=,"
                                                        
                              Fully Online                                                  ",This service is to apply for Registration of Establishment under the Interstate Migrant Workmen Act 1979 from Labour Department (STATE). This is a G2B service. Applicants need to register to apply for this service. Institutions can apply for this service.,https://services.india.gov.in/service/detail/apply-for-registration-of-establishment-under-the-interstate-migrant-workmen-act-1979-meghalaya
